invoice_id,erp_system,invoice_type,contract_ref,tower_ref,vendor_or_tenant,invoice_date,billing_period,invoiced_amount_usd,expected_amount_usd,payment_status,gl_account,cost_center,po_number,lease_status_at_billing,discrepancy_planted,notes
INV-885608,Oracle Cloud ERP,AP,GL-3BED1E3E,CC-TWR-422554,Commercial Property Owner,2025-03-01,2025-03,3270.56,3270.56,Pending,6110-002,CC-WEST,PR-707315,Terminated,,
SI-363272,Workday Financials,AP,GL-C7D42EE4,CC-TWR-478638,Federal Agency,2025-02-01,2025-02,7637.6,7637.6,Paid,6110-002,CC-WEST,PR-937397,Active,,
INV-560483,SAP S/4HANA,AP,GL-5633C5C0,CC-TWR-924265,Commercial Property Owner,2024-10-01,2024-10,3183.28,3183.28,Paid,6110-002,CC-SOUTHEAST,PO-407696,Active,,
AP-INV-375668,SAP S/4HANA,AR,TL-62E20F8C,CC-TWR-399607,ATT,2024-09-01,2024-09,3426.39,3426.39,Received,4210-050,CC-WEST,REQ-446234,Active,carrier_name,
INV-485787,SAP ECC 6.0,AP,GL-EBC6FA3F,CC-TWR-823846,State DOT,2024-05-01,2024-05,13442.57,13442.57,Paid,6110-001,CC-SOUTHWEST,PO-885903,Pending Renewal,,
AP-INV-303300,SAP ECC 6.0,AR,TL-3EDB1495,CC-TWR-211425,AT&T,2024-12-01,2024-12,5522.88,6130.69,Pending,4210-100,CC-SOUTHEAST,PR-609111,Active,amount_mismatch,
BILL-107584,SAP ECC 6.0,AR,TL-1F958B5F,CC-TWR-915573,AT&T,2025-03-01,2025-03,5454.69,5454.69,Cleared,4210-050,CC-NORTHEAST,REQ-826181,Active,,
PO-INV-996443,SAP S/4HANA,AR,TL-0A42F60F,CC-TWR-130353,T-Mobile,2024-07-01,2024-07,3191.78,3191.78,Pending,4210-001,CC-SOUTHEAST,PO-659913,Active,,
BILL-213363,Oracle Cloud ERP,AP,GL-C3B3F438,CC-TWR-959959,County Government,2025-02-01,2025-02,2447.98,2447.98,Paid,6110-002,CC-NORTHEAST,PO-662823,Active,,
INV-479951,SAP ECC 6.0,AR,TL-6BCD4E26,CC-TWR-172274,T-Mobile,2025-01-01,2025-01,3518.07,3518.07,Received,4210-001,CC-SOUTHEAST,REQ-524426,Active,,
BILL-810774,Workday Financials,AR,TL-683AE0D5,CC-TWR-967823,AT&T,2025-01-01,2025-01,4844.39,4844.39,Received,4210-100,CC-NORTHEAST,PR-410347,Active,,
INV-271969,Oracle EBS R12,AP,GL-E1735E43,CC-TWR-139807,Private Individual,2024-08-01,2024-08,1642.46,1642.46,Paid,6110-100,CC-MIDWEST,PO-472283,Under Renegotiation,,
INV-268241,Oracle Cloud ERP,AP,GL-6B56C6A0,CC-TWR-961957,Municipality,2024-07-01,2024-07,3576.32,3576.32,Paid,6110-002,CC-SOUTHWEST,PR-852473,Active,tower_id_typo,
AP-INV-114535,Oracle EBS R12,AR,TL-76CBC626,CC-TWR-550081,US Cellular,2024-11-01,2024-11,2660.18,2660.18,Pending,4210-100,CC-MIDWEST,PR-915228,Active,,
INV-717075,Oracle EBS R12,AP,GL-36D063C3,CC-TWR-571404,Church/Religious Org,2024-05-01,2024-05,4283.77,4283.77,Cleared,6110-002,CC-NORTHEAST,PO-699629,Active,,
PO-INV-774560,Workday Financials,AR,TL-1B098D15,CC-TWR-701581,Verizon,2025-03-01,2025-03,3944.14,3847.94,Pending,4210-001,CC-MIDWEST,PR-943201,Active,over_escalation,
PO-INV-475619,Oracle EBS R12,AR,TL-0DDEFAC7,CC-TWR-358207,T-Mobile,2024-09-01,2024-09,4505.91,4505.91,Received,4210-001,CC-MIDWEST,REQ-480413,Amendment Pending,duplicate,
SI-324918,Oracle Cloud ERP,AR,TL-13DD7E26,CC-TWR-306854,AT&T,2025-03-01,2025-03,3524.79,3524.79,Received,4210-100,CC-SOUTHWEST,REQ-666386,Active,,
AP-INV-679759,Oracle EBS R12,AR,TL-CB118DF6,CC-TWR-959959,DISH Wireless,2025-02-01,2025-02,2211.82,2211.82,Past Due,4210-100,CC-NORTHEAST,PO-469237,Suspended,,
SI-798544,Oracle EBS R12,AR,TL-ABC362D9,CC-TWR-910075,T-Mobile,2024-06-01,2024-06,4511.84,4511.84,Applied,4210-001,CC-WEST,PR-740425,Active,,
AP-INV-761090,Oracle Cloud ERP,AR,TL-A3AB6172,CC-TWR-205065,AT&T,2024-12-01,2024-12,2524.14,3569.36,Cleared,4210-050,CC-SOUTHEAST,PO-780349,Active,missed_escalation,
INV-835711,Oracle EBS R12,AR,TL-B3C43E71,CC-TWR-475479,Verizon,2025-01-01,2025-01,4948.6,4948.6,Cleared,4210-001,CC-WEST,PR-505605,Active,,
PO-INV-276862,SAP S/4HANA,AR,TL-BE744B57,CC-TWR-741390,Verizon,2024-10-01,2024-10,5526.37,5526.37,Cleared,4210-050,CC-MIDWEST,REQ-784130,Active,duplicate,System-generated duplicate
PO-INV-318286,Workday Financials,AR,TL-9B4F2145,CC-TWR-153266,AT&T,2024-08-01,2024-08,3641.91,3641.91,Received,4210-050,CC-NORTHEAST,PR-619454,Amendment Pending,,
AP-INV-621271,SAP S/4HANA,AR,TL-8DF25D70,CC-TWR-959959,AT&T,2024-07-01,2024-07,5763.52,5763.52,Pending,4210-100,CC-NORTHEAST,PR-995569,Amendment Pending,,
PO-INV-536889,SAP ECC 6.0,AR,TL-95AAFD6F,CC-TWR-727086,AT&T,2024-08-01,2024-08,2463.32,2463.32,Applied,4210-100,CC-SOUTHEAST,REQ-888606,Amendment Pending,,
SI-588899,Oracle EBS R12,AR,TL-BC883326,CC-TWR-750810,T-Mobile,2025-02-01,2025-02,3192.41,3192.41,Received,4210-001,CC-SOUTHEAST,PO-467093,Amendment Pending,,
AP-INV-354885,SAP S/4HANA,AR,TL-3F9BF979,CC-TWR-861411,US Cellular,2024-04-01,2024-04,3138.08,3138.08,Pending,4210-100,CC-SOUTHWEST,REQ-984743,Active,,
