mod_id,tower_id,contract_id,carrier,mod_type,submitted_date,approved_date,install_date,mod_approved,physically_installed,billing_updated,monthly_rate_change_usd,discrepancy_type,notes
MOD-691380-6070,CC-TWR-691380,TL-7192BA22,Verizon,Equipment Upgrade,2024-01-31,2024-03-18,2024-06-23,True,True,True,342.67,none,
MOD-345386-5205,CC-TWR-345386,TL-A63012DC,AT&T,Add Sector,2024-07-13,2024-10-03,2025-01-11,True,True,True,1013.71,none,
MOD-384076-5905,CC-TWR-384076,TL-C0FEE6F3,AT&T,RRU Replacement,2024-10-04,2024-11-19,2025-02-14,True,True,True,787.68,none,
MOD-384076-2493,CC-TWR-384076,TL-4998FBDE,Verizon,Add Sector,2024-01-15,2024-03-30,2024-05-16,True,True,True,662.29,none,
MOD-384076-8232,CC-TWR-384076,TL-DBF9A652,Verizon,Equipment Upgrade,2024-09-15,2024-11-22,2025-03-20,True,True,False,1498.83,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-239816-6257,CC-TWR-239816,TL-6E419C10,T-Mobile,Cabinet Addition,2024-07-24,2024-10-09,2024-12-19,True,True,True,992.1,none,
MOD-825423-9689,CC-TWR-825423,TL-E002BE4C,T-Mobile,Generator Install,2024-06-16,2024-08-30,2024-10-11,True,True,True,605.31,none,
MOD-825423-9995,CC-TWR-825423,TL-90EE551F,T-Mobile,Add Sector,2024-04-27,2024-07-14,2024-11-09,True,True,True,1172.72,none,
MOD-924265-9205,CC-TWR-924265,TL-D6BDA7A0,Verizon,Generator Install,2024-01-09,2024-02-07,,True,False,True,889.88,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-622230-1422,CC-TWR-622230,TL-684E0022,Verizon,Generator Install,2024-08-18,2024-11-11,2025-03-05,True,True,False,236.47,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-971482-1686,CC-TWR-971482,TL-05924E44,AT&T,Generator Install,2024-07-21,2024-09-11,2024-12-17,True,True,True,992.08,none,
MOD-755910-5994,CC-TWR-755910,TL-93A41CBD,AT&T,Add Sector,2024-07-02,2024-07-27,2024-10-10,True,True,True,914.98,none,
MOD-653306-8583,CC-TWR-653306,TL-8F3D1AC8,AT&T,Height Change,2024-08-30,2024-09-27,2024-12-09,True,True,True,531.66,none,
MOD-336650-1866,CC-TWR-336650,TL-9BE3D84D,T-Mobile,Cabinet Addition,2024-09-26,2024-11-04,2024-12-09,True,True,True,487.2,none,
MOD-226882-9502,CC-TWR-226882,TL-1D352B4C,C Spire,Generator Install,2024-02-11,2024-04-13,2024-07-17,True,True,True,359.95,none,
MOD-561865-7667,CC-TWR-561865,TL-8B1213DB,AT&T,5G Overlay,2024-12-06,2025-02-23,,True,False,True,1136.4,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-680189-6865,CC-TWR-680189,TL-E991FE83,AT&T,5G Overlay,2024-10-15,2025-01-03,2025-02-26,True,True,True,354.45,none,
MOD-251195-8259,CC-TWR-251195,TL-8B560559,AT&T,Height Change,2024-05-10,2024-07-10,2024-09-23,True,True,True,1077.75,none,
MOD-359168-4384,CC-TWR-359168,TL-B408F881,Verizon,Add Sector,2024-11-08,2025-01-28,2025-02-28,True,True,True,1292.84,none,
MOD-755420-3888,CC-TWR-755420,TL-FA46574C,AT&T,Add Sector,2024-08-13,2024-11-10,2024-12-23,True,True,True,399.15,none,
MOD-139807-8924,CC-TWR-139807,TL-301E787C,AT&T,Antenna Swap,2024-11-04,,2025-02-05,False,True,True,498.0,no_mod_application,Equipment change detected on tower without approved modification application
MOD-118632-6429,CC-TWR-118632,TL-9F554808,T-Mobile,Add Sector,2024-12-18,2025-01-20,2025-05-05,True,True,True,352.79,none,
MOD-861411-8430,CC-TWR-861411,TL-6C464437,Verizon,RRU Replacement,2024-07-22,2024-08-19,2024-09-20,True,True,True,383.92,none,
MOD-861411-8867,CC-TWR-861411,TL-3F9BF979,US Cellular,5G Overlay,2024-10-16,2024-12-30,2025-02-23,True,True,True,262.51,none,
MOD-698384-9739,CC-TWR-698384,TL-814B827B,Verizon,Cabinet Addition,2024-05-01,2024-07-08,2024-08-23,True,True,True,1149.1,none,
MOD-234443-1174,CC-TWR-234443,TL-55461279,T-Mobile,Add Sector,2024-08-08,2024-08-27,2024-10-22,True,True,True,1429.49,none,
MOD-827143-8652,CC-TWR-827143,TL-8AEFB21B,AT&T,RRU Replacement,2024-10-31,2024-11-23,2025-02-23,True,True,True,659.56,none,
MOD-827143-9033,CC-TWR-827143,TL-67BD452A,T-Mobile,Height Change,2024-01-18,2024-02-06,2024-05-10,True,True,True,1147.29,none,
MOD-827143-3662,CC-TWR-827143,TL-5F0D2546,Verizon,5G Overlay,2024-05-06,2024-06-22,2024-08-31,True,True,True,1318.94,none,
MOD-908554-2109,CC-TWR-908554,TL-36DE10A3,AT&T,Equipment Upgrade,2024-11-10,2025-01-18,2025-02-21,True,True,True,417.62,none,
MOD-208751-3724,CC-TWR-208751,TL-B9834D84,AT&T,5G Overlay,2024-09-02,2024-09-24,2024-12-17,True,True,True,1067.72,none,
MOD-594580-8907,CC-TWR-594580,TL-DA83EC04,DISH Wireless,Antenna Swap,2024-12-08,2025-01-04,2025-03-06,True,True,True,948.42,none,
MOD-770872-5721,CC-TWR-770872,TL-F74F35C3,Verizon,Equipment Upgrade,2024-04-30,,2024-10-11,False,True,True,980.42,no_mod_application,Equipment change detected on tower without approved modification application
MOD-986438-9387,CC-TWR-986438,TL-5E6037B0,Verizon,Equipment Upgrade,2024-01-12,2024-01-29,2024-04-12,True,True,True,1064.58,none,
MOD-863187-2844,CC-TWR-863187,TL-A4822505,AT&T,Height Change,2024-07-15,2024-07-29,2024-11-09,True,True,True,376.97,none,
MOD-863187-8637,CC-TWR-863187,TL-7F99C9E6,T-Mobile,Height Change,2024-12-31,2025-03-19,2025-06-08,True,True,True,718.88,none,
MOD-959972-3458,CC-TWR-959972,TL-632A5A46,T-Mobile,5G Overlay,2024-02-17,2024-05-13,2024-08-10,True,True,True,322.86,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-959972-3523,CC-TWR-959972,TL-B4A5BA7C,AT&T,Cabinet Addition,2024-03-23,2024-05-23,2024-09-16,True,True,True,1117.48,none,
MOD-959972-8286,CC-TWR-959972,TL-13A8994E,AT&T,Antenna Swap,2024-05-20,2024-08-15,2024-12-10,True,True,True,790.82,none,
MOD-872519-4972,CC-TWR-872519,TL-C2DD2E7B,AT&T,Cabinet Addition,2024-06-21,2024-07-23,2024-08-25,True,True,True,337.68,none,
MOD-831514-1551,CC-TWR-831514,TL-9B95AF5A,Verizon,Antenna Swap,2024-10-02,2024-12-29,2025-04-02,True,True,True,897.95,none,
MOD-831514-9768,CC-TWR-831514,TL-4757FFBC,Verizon,Antenna Swap,2024-02-09,2024-03-21,2024-07-18,True,True,True,831.44,none,
MOD-831514-5269,CC-TWR-831514,TL-AF4016EE,AT&T,5G Overlay,2024-11-11,2025-01-03,2025-03-17,True,True,True,1433.76,none,
MOD-961957-8527,CC-TWR-961957,TL-86B8DF66,Verizon,Antenna Swap,2024-10-19,2025-01-03,2025-04-02,True,True,True,290.98,none,
MOD-961957-5234,CC-TWR-961957,TL-ED176DED,T-Mobile,Generator Install,2024-08-01,2024-10-15,2024-12-16,True,True,True,1059.4,none,
MOD-825309-3227,CC-TWR-825309,TL-BAB74B62,T-Mobile,5G Overlay,2024-05-03,2024-07-09,2024-09-04,True,True,True,1316.78,none,
MOD-825309-2892,CC-TWR-825309,TL-97C476CC,AT&T,Height Change,2024-12-29,2025-02-27,2025-04-01,True,True,True,1458.89,none,
MOD-550418-1045,CC-TWR-550418,TL-77CC80DA,T-Mobile,RRU Replacement,2025-01-10,2025-02-27,2025-06-22,True,True,True,309.43,none,
MOD-550418-6040,CC-TWR-550418,TL-F8CFB973,AT&T,RRU Replacement,2024-01-10,2024-04-03,2024-05-09,True,True,True,934.88,none,
MOD-990649-9205,CC-TWR-990649,TL-0F9C82BD,T-Mobile,Equipment Upgrade,2024-04-11,2024-07-03,2024-08-18,True,True,False,1185.11,billing_not_updated,Mod completed but billing system not updated — revenue leakage
MOD-990649-8590,CC-TWR-990649,TL-62860494,T-Mobile,Height Change,2024-05-12,2024-07-31,,True,False,True,958.02,not_installed,Mod approved and billing updated but equipment never installed — tenant overcharged
MOD-251275-1837,CC-TWR-251275,TL-DBD207F2,T-Mobile,Cabinet Addition,2024-08-07,2024-08-22,2024-12-12,True,True,True,1454.81,none,
MOD-251275-3437,CC-TWR-251275,TL-C0BBFAF2,Verizon,Antenna Swap,2024-06-29,2024-07-20,2024-11-03,True,True,True,289.63,none,
MOD-251275-3378,CC-TWR-251275,TL-BA0D9986,T-Mobile,Generator Install,2024-01-22,2024-02-28,2024-06-25,True,True,True,485.63,none,
MOD-890170-1018,CC-TWR-890170,TL-A372CA8D,AT&T,Antenna Swap,2024-02-25,2024-05-23,2024-07-01,True,True,True,414.28,none,
MOD-907788-4857,CC-TWR-907788,TL-1E903859,Verizon,Equipment Upgrade,2024-07-20,2024-10-07,2024-11-12,True,True,True,515.61,none,
MOD-550081-7266,CC-TWR-550081,TL-5F7A645F,C Spire,Add Sector,2024-04-02,2024-05-21,2024-08-08,True,True,True,532.93,none,
MOD-965401-2437,CC-TWR-965401,TL-A2A52B85,AT&T,Height Change,2024-03-22,2024-05-20,2024-06-24,True,True,True,554.48,none,
MOD-965401-9064,CC-TWR-965401,TL-0CA8E850,T-Mobile,Height Change,2025-01-24,2025-03-11,2025-05-09,True,True,True,349.04,none,
MOD-990856-6270,CC-TWR-990856,TL-8B0BB333,T-Mobile,5G Overlay,2024-07-30,2024-09-16,2024-11-19,True,True,True,1076.89,none,
MOD-941814-6781,CC-TWR-941814,TL-3B783E51,Verizon,RRU Replacement,2024-02-11,2024-04-01,2024-07-27,True,True,True,1088.29,none,
MOD-996840-7710,CC-TWR-996840,TL-4A57FA65,T-Mobile,5G Overlay,2024-06-08,2024-06-30,2024-08-26,True,True,True,288.27,none,
MOD-343118-6457,CC-TWR-343118,TL-2F4C8B5F,T-Mobile,Cabinet Addition,2024-06-04,2024-08-06,2024-11-14,True,True,True,1101.49,none,
MOD-776604-2687,CC-TWR-776604,TL-E61BE301,AT&T,Equipment Upgrade,2024-01-01,,2024-04-18,False,True,True,932.47,no_mod_application,Equipment change detected on tower without approved modification application
MOD-863611-5125,CC-TWR-863611,TL-B2CDC190,AT&T,Cabinet Addition,2024-09-27,2024-12-18,2025-04-13,True,True,True,1114.09,none,
MOD-863611-8475,CC-TWR-863611,TL-E02337BF,AT&T,Equipment Upgrade,2025-01-03,2025-01-21,2025-04-22,True,True,True,996.44,none,
MOD-896456-5144,CC-TWR-896456,TL-431A191D,DISH Wireless,Cabinet Addition,2024-06-05,2024-08-05,2024-10-10,True,True,True,494.87,none,
MOD-971084-4396,CC-TWR-971084,TL-07EAAECD,C Spire,RRU Replacement,2024-04-12,2024-05-29,2024-09-04,True,True,True,1311.73,non_conformance,Installation does not match approved plans — wind load or interference risk
MOD-971084-6556,CC-TWR-971084,TL-277381B6,T-Mobile,Generator Install,2024-07-15,2024-09-13,2024-12-04,True,True,True,699.13,none,
