access_id,tower_id,access_date,carrier,contractor,purpose,duration_hours,has_matching_mod_application,discrepancy_type,notes
ACC-691380-20241028-1,CC-TWR-691380,2024-10-28,Verizon,Unknown,Decommission,5.7,False,none,
ACC-691380-20250116-2,CC-TWR-691380,2025-01-16,AT&T,CommScope Install,Routine Maintenance,7.4,False,none,
ACC-691380-20240717-3,CC-TWR-691380,2024-07-17,AT&T,Black & Veatch,Equipment Install,7.1,False,no_approved_mod,Site access for equipment work but no approved modification application on file
ACC-691380-20240608-4,CC-TWR-691380,2024-06-08,T-Mobile,MasTec,Inspection,3.0,False,none,
ACC-691380-20241219-5,CC-TWR-691380,2024-12-19,AT&T,Black & Veatch,Generator Service,3.7,False,none,
ACC-691380-20240807-6,CC-TWR-691380,2024-08-07,Verizon,Unknown,Unknown,7.4,False,unauthorized_access,"Unidentified access — no work order, contractor, or appointment found"
ACC-691380-20240819-7,CC-TWR-691380,2024-08-19,Verizon,Summit Field Ops,Inspection,2.6,False,none,
ACC-620465-20240808-1,CC-TWR-620465,2024-08-08,Verizon,Black & Veatch,Emergency Repair,3.3,False,none,
ACC-620465-20241231-2,CC-TWR-620465,2024-12-31,AT&T,Unknown,Decommission,11.8,False,none,
ACC-620465-20250210-3,CC-TWR-620465,2025-02-10,AT&T,Summit Field Ops,Antenna Swap,8.7,False,none,
ACC-620465-20241014-4,CC-TWR-620465,2024-10-14,AT&T,Summit Field Ops,Decommission,10.5,False,none,
ACC-620465-20241019-5,CC-TWR-620465,2024-10-19,AT&T,MasTec,Antenna Swap,2.6,False,none,
ACC-620465-20250129-6,CC-TWR-620465,2025-01-29,Verizon,MasTec,Equipment Install,4.4,False,none,
ACC-620465-20240922-7,CC-TWR-620465,2024-09-22,Verizon,SAI Group,Inspection,6.5,False,none,
ACC-620465-20240724-8,CC-TWR-620465,2024-07-24,AT&T,Summit Field Ops,Routine Maintenance,7.7,False,none,
ACC-345386-20240807-1,CC-TWR-345386,2024-08-07,AT&T,Unknown,Emergency Repair,11.8,False,none,
ACC-345386-20250112-2,CC-TWR-345386,2025-01-12,AT&T,SAI Group,Routine Maintenance,5.5,True,none,
ACC-345386-20241218-3,CC-TWR-345386,2024-12-18,AT&T,SAI Group,Inspection,2.1,True,none,
ACC-345386-20240920-4,CC-TWR-345386,2024-09-20,AT&T,Summit Field Ops,Antenna Swap,2.3,False,none,
ACC-345386-20240921-5,CC-TWR-345386,2024-09-21,AT&T,Ericsson Services,Antenna Swap,3.3,False,none,
ACC-345386-20241231-6,CC-TWR-345386,2024-12-31,AT&T,Unknown,Emergency Repair,9.5,True,none,
ACC-345386-20240621-7,CC-TWR-345386,2024-06-21,AT&T,Vertical Bridge Services,Equipment Install,5.5,False,none,
ACC-384076-20241228-1,CC-TWR-384076,2024-12-28,AT&T,Vertical Bridge Services,Equipment Install,8.6,False,none,
ACC-384076-20250131-2,CC-TWR-384076,2025-01-31,Verizon,Nokia Deployment,Routine Maintenance,4.4,False,none,
