contract_id,tower_id,tower_type,tower_height_ft,zone_type,latitude,longitude,city,state,ownership_type,landowner_type,lease_start_date,initial_term_end_date,max_lease_expiry,initial_term_years,renewal_terms,renewal_term_years,monthly_rent_usd,annual_rent_usd,escalation_pct,escalation_type,termination_notice_days,exclusive_use_clause,lease_status,divestiture_impacted,created_at
GL-98789FDB,CC-TWR-334053,Rooftop,120,Rural,42.125054,-90.624853,Milwaukee,WI,Owned,Summit (Owned),2021-02-22,2046-02-16,2121-01-29,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-13F01BFD,CC-TWR-629903,Monopole,270,Urban,41.178783,-85.90681,Detroit,MI,Owned,Summit (Owned),1998-09-07,2023-09-01,2098-08-13,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-BDCEDAE0,CC-TWR-895667,Guyed Tower,330,Urban,39.556381,-74.1307,Edison,NJ,Leased,School District,2003-12-14,2028-12-07,2103-11-20,25,3,25,5051.88,60622.56,1.5,CPI-Based,120,True,Pending Renewal,False,2026-02-22 21:26:00
GL-C256E32E,CC-TWR-460663,Rooftop,270,Rural,41.899637,-76.487144,New York,NY,Owned,Summit (Owned),2006-01-24,2031-01-18,2105-12-31,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-C7B23ACB,CC-TWR-479201,Monopole,260,Rural,41.317619,-85.525921,Evansville,IN,Leased,Municipality,2004-12-03,2029-11-27,2104-11-09,25,3,25,559.57,6714.84,1.5,CPI-Based,150,True,Active,False,2026-02-22 21:26:00
GL-D8ED2123,CC-TWR-575435,Monopole,280,Rural,36.599451,-97.719243,Tulsa,OK,Owned,Summit (Owned),2009-03-12,2034-03-06,2109-02-16,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-DDB89941,CC-TWR-584714,Monopole,200,Rural,44.670699,-90.775945,Madison,WI,Leased,State DOT,2006-11-23,2031-11-17,2106-10-30,25,3,25,1224.03,14688.36,2.0,Fixed Annual,90,True,Active,True,2026-02-22 21:26:00
GL-CB7035A7,CC-TWR-169403,Self-Supporting Lattice,140,Suburban,45.220183,-121.191846,Portland,OR,Leased,Agricultural Land Trust,2016-12-11,2041-12-05,2116-11-17,25,3,25,1795.35,21544.2,2.5,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-8C08F5F7,CC-TWR-665158,Monopole,160,Suburban,39.418891,-76.275055,Allentown,PA,Leased,State DOT,2021-10-14,2046-10-08,2121-09-20,25,3,25,3713.9,44566.8,2.5,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-92FFBD01,CC-TWR-214975,Guyed Tower,120,Suburban,40.480548,-76.221089,Reading,PA,Owned,Summit (Owned),2018-03-26,2043-03-20,2118-03-02,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-14627723,CC-TWR-680099,Monopole,80,Highway Corridor,35.996121,-85.767085,Clarksville,TN,Leased,School District,2019-12-04,2044-11-27,2119-11-10,25,3,25,3885.99,46631.88,3.0,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-41D6F253,CC-TWR-857168,Guyed Tower,310,Suburban,42.173826,-75.823934,Rochester,NY,Leased,Federal Agency,2006-09-25,2031-09-19,2106-09-01,25,3,25,1700.23,20402.76,1.0,CPI-Based,150,True,Active,True,2026-02-22 21:26:00
GL-A81E9E32,CC-TWR-665579,Monopole,320,Suburban,38.152839,-75.949957,Columbia,MD,Owned,Summit (Owned),2014-01-20,2039-01-14,2113-12-27,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-C31EFF27,CC-TWR-694916,Self-Supporting Lattice,100,Suburban,41.239452,-72.759128,Stamford,CT,Leased,County Government,2000-12-16,2025-12-10,2100-11-22,25,3,25,3484.87,41818.44,3.0,Fixed Annual,120,True,Active,False,2026-02-22 21:26:00
GL-10AA7D01,CC-TWR-653306,Monopole,270,Suburban,48.681092,-95.678984,Duluth,MN,Owned,Summit (Owned),2011-04-18,2036-04-11,2111-03-25,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-6F51FC21,CC-TWR-226882,Guyed Tower,150,Rural,45.628601,-92.859393,Rochester,MN,Leased,Tribal Authority,2005-02-11,2030-02-05,2105-01-18,25,3,25,527.34,6328.08,3.0,Fixed Annual,120,True,Pending Renewal,True,2026-02-22 21:26:00
GL-E2872267,CC-TWR-340062,Monopole,100,Highway Corridor,30.354965,-82.475588,Atlanta,GA,Owned,Summit (Owned),1999-06-03,2024-05-27,2099-05-09,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-F8617ABC,CC-TWR-704201,Monopole,230,Rural,40.89341,-84.470468,Fort Wayne,IN,Owned,Summit (Owned),2005-08-26,2030-08-20,2105-08-02,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-3AE51758,CC-TWR-156802,Stealth/Concealed,290,Suburban,38.644409,-102.953143,Fort Collins,CO,Leased,State DOT,2018-11-04,2043-10-29,2118-10-11,25,3,25,1369.72,16436.64,2.0,Fixed Annual,90,True,Pending Termination,False,2026-02-22 21:26:00
GL-3121DAEF,CC-TWR-292401,Monopole,160,Suburban,39.681429,-90.439271,Aurora,IL,Leased,Private Individual,2012-04-28,2037-04-22,2112-04-04,25,3,25,3785.14,45421.68,2.5,Fixed Annual,90,True,Active,False,2026-02-22 21:26:00
GL-96936627,CC-TWR-890170,Monopole,150,Urban,46.180138,-87.155019,Racine,WI,Owned,Summit (Owned),2003-07-16,2028-07-09,2103-06-22,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-EFA14FF1,CC-TWR-922157,Self-Supporting Lattice,330,Urban,35.985309,-87.878376,Nashville,TN,Leased,County Government,2012-05-14,2037-05-08,2112-04-20,25,3,25,7724.44,92693.28,3.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-2203B63E,CC-TWR-871476,Rooftop,250,Rural,38.088504,-90.766067,Naperville,IL,Owned,Summit (Owned),1999-12-11,2024-12-04,2099-11-16,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-62E2C4F9,CC-TWR-184002,Self-Supporting Lattice,130,Suburban,40.472298,-90.235327,Iowa City,IA,Leased,Municipality,2000-10-03,2025-09-27,2100-09-09,25,3,25,3090.6,37087.2,1.5,Fixed Annual,180,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-4BCBF2B6,CC-TWR-749468,Stealth/Concealed,100,Suburban,41.246215,-72.405481,Waterbury,CT,Owned,Summit (Owned),2011-11-19,2036-11-12,2111-10-26,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,True,2026-02-22 21:26:00
GL-4DDBE624,CC-TWR-804318,Stealth/Concealed,280,Suburban,44.432116,-93.833713,Rochester,MN,Owned,Summit (Owned),2007-08-11,2032-08-04,2107-07-18,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-1AE7FFD2,CC-TWR-323508,Stealth/Concealed,240,Urban,38.996096,-78.706957,Waldorf,MD,Leased,Church/Religious Org,2006-03-12,2031-03-06,2106-02-16,25,3,25,9106.48,109277.76,1.5,CPI-Based,150,True,Active,False,2026-02-22 21:26:00
GL-2AE3B686,CC-TWR-741390,Monopole,330,Suburban,41.33498,-81.4823,Toledo,OH,Leased,Municipality,2018-09-01,2043-08-26,2118-08-08,25,3,25,3070.02,36840.24,3.0,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-8993E179,CC-TWR-878480,Monopole,250,Urban,41.264466,-72.110287,New Haven,CT,Leased,Church/Religious Org,2002-05-10,2027-05-04,2102-04-16,25,3,25,7036.22,84434.64,2.0,CPI-Based,120,True,Terminated,False,2026-02-22 21:26:00
GL-B51C7128,CC-TWR-153266,Monopole,100,Suburban,41.502243,-70.275523,Lowell,MA,Leased,County Government,2018-07-27,2043-07-21,2118-07-03,25,3,25,1974.7,23696.4,1.0,Fixed Annual,150,True,Active,False,2026-02-22 21:26:00
GL-E7218481,CC-TWR-839945,Monopole,210,Suburban,42.80791,-89.790822,Green Bay,WI,Leased,School District,2015-01-04,2039-12-29,2114-12-11,25,3,25,1410.68,16928.16,1.5,Fixed Annual,90,True,Active,True,2026-02-22 21:26:00
GL-F44C9A3F,CC-TWR-423232,Rooftop,190,Suburban,36.592375,-94.235327,Independence,MO,Leased,School District,2023-01-12,2048-01-06,2122-12-19,25,3,25,1788.21,21458.52,1.5,CPI-Based,90,True,Active,False,2026-02-22 21:26:00
GL-BD8D82A4,CC-TWR-750810,Stealth/Concealed,310,Suburban,32.536539,-91.968113,Lake Charles,LA,Owned,Summit (Owned),2002-04-28,2027-04-22,2102-04-04,25,3,25,0.0,0.0,0.0,N/A,0,False,Active,False,2026-02-22 21:26:00
GL-80019642,CC-TWR-802448,Monopole,310,Highway Corridor,41.129546,-82.941434,Cincinnati,OH,Leased,Private Individual,2023-04-09,2048-04-02,2123-03-16,25,3,25,2057.19,24686.28,1.0,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-56B858F3,CC-TWR-582662,Monopole,190,Suburban,34.667301,-95.10048,Broken Arrow,OK,Leased,School District,2007-04-08,2032-04-01,2107-03-15,25,3,25,1266.26,15195.12,1.5,CPI-Based,180,True,Active,False,2026-02-22 21:26:00
GL-3D0F781F,CC-TWR-772642,Monopole,240,Rural,35.933778,-81.767,Charlotte,NC,Leased,Church/Religious Org,2010-11-27,2035-11-21,2110-11-03,25,3,25,1197.08,14364.96,1.0,CPI-Based,90,True,Active,False,2026-02-22 21:26:00
GL-4D040C6D,CC-TWR-213668,Guyed Tower,270,Suburban,41.850137,-83.672668,Akron,OH,Leased,Commercial Property Owner,2011-06-24,2036-06-17,2111-05-31,25,3,25,3402.0,40824.0,2.5,Fixed Annual,90,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-BCA900A4,CC-TWR-557239,Stealth/Concealed,80,Rural,41.190079,-72.955613,Waterbury,CT,Leased,Commercial Property Owner,2014-09-22,2039-09-16,2114-08-29,25,3,25,1435.26,17223.12,1.5,CPI-Based,150,True,Active,False,2026-02-22 21:26:00
GL-8F981C04,CC-TWR-230679,Self-Supporting Lattice,310,Highway Corridor,38.231554,-117.366125,San Diego,CA,Leased,Church/Religious Org,2007-09-10,2032-09-03,2107-08-17,25,3,25,3834.13,46009.56,2.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-02FDD5F6,CC-TWR-497562,Stealth/Concealed,290,Highway Corridor,38.76736,-85.340282,Fort Wayne,IN,Leased,Church/Religious Org,2021-03-20,2046-03-14,2121-02-24,25,3,25,3491.87,41902.44,2.5,CPI-Based,90,True,Under Renegotiation,False,2026-02-22 21:26:00
GL-F4247D83,CC-TWR-786508,Guyed Tower,180,Rural,37.289664,-78.940107,Norfolk,VA,Leased,County Government,2012-08-15,2037-08-09,2112-07-22,25,3,25,1378.32,16539.84,3.0,Fixed Annual,180,True,Active,False,2026-02-22 21:26:00
GL-6289B7BA,CC-TWR-749342,Rooftop,180,Suburban,44.702718,-91.689169,Minneapolis,MN,Leased,Private Individual,2000-04-22,2025-04-16,2100-03-29,25,3,25,2069.17,24830.04,1.5,CPI-Based,120,True,Active,False,2026-02-22 21:26:00
